class,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11
1,0.105559034907946,0.0804820056491664,0.0487799412461177,0.0323645657320485,0.0169306835121877,0.00544721076252886,0.00397481581616135,0.0428910215172428,0.000760692727305596,292.865565246818,291.345233930562
1,0.10629515087286,0.0806537660424535,0.0490743876352742,0.0325854005222925,0.0170042951081388,0.00544721076252886,0.00407296462578988,0.043553525889146,0.000687081132501221,292.932841139705,291.304149001195
1,0.105190976925488,0.0800648732654693,0.0484118832596719,0.0317511357591484,0.0159491955661739,0.00471109477129335,0.0027234184933975,0.041271566385924,0.00083430432210999,292.992608094955,291.398038191809
1,0.103596059001507,0.0779792113469836,0.046816965318407,0.0299353830393642,0.0150167820174608,0.00304256519115955,0.00181554200433352,0.0407808224067365,0.000662543934233083,293.166746958057,291.609039557316
1,0.105460886112624,0.0804329312510844,0.0487799412461177,0.0323891029309645,0.0167589231216353,0.00500554116778756,0.00341046016079727,0.0427928727214053,0.000466246348088077,293.062296027479,291.565109346112
1,0.105190976925488,0.0801139476635513,0.0485345692551538,0.0319719705493925,0.016096418758076,0.004441185574507,0.00304240212469023,0.0418359219619896,0.000687081132501221,293.141886490065,291.61489579119
1,0.106884043644791,0.0819542375916269,0.0502276359928043,0.0341067068550847,0.0185501386231105,0.00664953354821351,0.00468639468596826,0.0437252862818616,0.000392634753283683,292.940313749638,291.400971128408
1,0.104675695750048,0.0798195012750592,0.0494669828208164,0.0323400285331325,0.0171024439027401,0.0050791527669111,0.00341046016079727,0.0424738891349334,0.000907915916914364,293.293449956067,291.749516051506
1,0.107522010814384,0.0827394279609392,0.0518961655313584,0.0354807899943809,0.0187709734109636,0.00758194713711181,0.00566788278225363,0.0455901134027742,0.000564395141160571,292.965218856978,291.327627706227
1,0.108552573165264,0.0836227671264155,0.0518470911331656,0.036511352348853,0.0208320980975926,0.00878426992279646,0.0064285360568748,0.0462526177746774,0.000392634753283683,292.960238277548,291.377505769038
1,0.106515985662334,0.0813162704165607,0.0498595780063585,0.0329043841082006,0.0174459646838449,0.00539813636311316,0.00382759260171854,0.0428174099203647,0.000687081132501221,292.887995027229,291.392172118644
1,0.106515985662334,0.0813162704165607,0.0498595780063585,0.0329043841082006,0.0174459646838449,0.00539813636311316,0.00382759260171854,0.0428174099203647,0.000687081132501221,292.887995027229,291.392172118644
1,0.107791920001519,0.0826412791647751,0.0514790331467198,0.0355544015911289,0.0199487589461802,0.00738564953944901,0.00566788278225363,0.0455165018058961,0.000736155529037477,292.957747904964,291.192566720284
1,0.107669234007366,0.0834264695340874,0.0527549674997318,0.0366831127412651,0.0213228420705995,0.00885788152192001,0.006649370878539,0.0455655762038148,0.000368097555015565,292.905437312031,291.362837752245
1,0.107178490030757,0.0816843284021758,0.0502521731919007,0.0339104092637567,0.0188445850069146,0.00716481474207836,0.00534889915096087,0.0444859394496023,0.000588932339428708,293.010034132135,291.477204100171
1,0.104356712165252,0.0787398645172548,0.0473813208976238,0.0307451106035923,0.0155075259904677,0.00395044158035,0.00260073248136182,0.0409525827994521,0.000687081132501221,293.186631376283,291.702707496374
1,0.105485423311454,0.0806537660424535,0.0490989248343706,0.0323645657320485,0.0161454931553767,0.0042448879768442,0.00279703010061889,0.0423021287422178,0.000981527511718739,293.032435064713,291.459615870455
1,0.104086802978117,0.0787644017162958,0.0471850233048527,0.0309904825927523,0.0149922448188105,0.0035578463850244,0.00198730242118347,0.0418359219619896,0.00107967630479125,292.965218856978,291.53874405123
1,0.106221539276368,0.0809482124309456,0.0489762388388887,0.0322418797374685,0.0164154023405305,0.00503007836749541,0.00338592295839013,0.0424984263338928,0.00083430432210999,293.139400140931,291.480135238926
1,0.104037728580456,0.0780282857450656,0.0473813208976238,0.0305488130122643,0.0150903936134118,0.00323886278882234,0.00220813724284767,0.041467863977599,0.000785229925573733,293.131940763611,291.527024415568
1,0.104921067738353,0.0793778316923211,0.0480438252732261,0.0317020613613164,0.0147223356336567,0.00328793718823806,0.00223267444525481,0.0422285171453397,0.000932453115182483,293.151831336827,291.529954424136
1,0.104503935358235,0.0795495920856081,0.0482646600650936,0.0315303009689044,0.0160228071621249,0.00419581357742851,0.00296879051746884,0.0414187895796803,0.00083430432210999,293.002566161605,291.459615870455
